Row Labels,Sum of new_cases,Sum of new_cases_smoothed
31-Aug,525236,527352.287
01-Sep,529806,533381.991
02-Sep,567170,533202.849
03-Sep,562038,532426.861
04-Sep,627638,541050.864
05-Sep,539924,542048.002
06-Sep,461486,544756.857
07-Sep,435454,531930.862
08-Sep,483812,525360.29
09-Sep,569414,525680.859
10-Sep,600084,531115.999
11-Sep,641872,533149.427
12-Sep,572804,537846.569
13-Sep,485394,541262.002
14-Sep,526384,554252
15-Sep,570840,566684.573
16-Sep,608084,572208.863
17-Sep,629386,576394.861
18-Sep,651206,577728.289
19-Sep,584528,579403.151
20-Sep,504172,582085.718
21-Sep,551512,585675.431
22-Sep,568442,585332.857
23-Sep,550902,577163.998
24-Sep,704316,587868.286
25-Sep,660594,589209.423
26-Sep,575916,587979.146
27-Sep,502798,587782.857
28-Sep,507670,581519.71
29-Sep,564078,580896.285
30-Sep,656286,595951.142
01-Oct,636248,586227.137
02-Oct,594470,576780.856
03-Oct,664164,589387.714
04-Oct,523486,592343.14
05-Oct,600832,605651.999
06-Oct,652234,618245.721
07-Oct,701614,624721.145
08-Oct,722088,636984.009
09-Oct,720794,655030.283
10-Oct,713018,662009.425
11-Oct,574856,669348.003
12-Oct,581806,666629.997
13-Oct,638026,664600.292
14-Oct,764038,673517.998
15-Oct,813114,686521.575
16-Oct,822374,701033.002
17-Oct,745400,705659.004
18-Oct,633018,713968.003
19-Oct,772434,741200.572
20-Oct,777204,761083.137
21-Oct,889120,778952.003
22-Oct,943880,797632.858
23-Oct,991928,821854.862
24-Oct,913380,845851.997
25-Oct,720166,858301.718
26-Oct,971288,886709.429
27-Oct,938924,909812.282
28-Oct,1022202,928824.002
29-Oct,1100324,951173.149
30-Oct,1140234,972359.717
31-Oct,951614,977821.715
01-Nov,924542,1007018.286
02-Nov,1121500,1028477.145
03-Nov,1105614,1052289.998
04-Nov,1020658,1052069.428
05-Nov,1190646,1064972.574
06-Nov,1287346,1085988.57
07-Nov,1195360,1120809.426
08-Nov,958430,1125650.572
09-Nov,1004344,1108914.009
10-Nov,1115792,1110368.006
11-Nov,1296350,1149752.576
12-Nov,1294074,1164528.001
13-Nov,1301248,1166514.004
14-Nov,1190148,1165769.435
15-Nov,947398,1164193.432
16-Nov,1060576,1172226.57
17-Nov,1216724,1186645.435
18-Nov,1252952,1180445.718
19-Nov,1302774,1181688.579
20-Nov,1333614,1186312.29
21-Nov,1177050,1184441.144
22-Nov,975802,1188498.861
23-Nov,1036930,1185120.86
24-Nov,1178894,1179716.573
25-Nov,1272718,1182540.28
26-Nov,1167752,1163251.429
27-Nov,1341986,1164447.433
28-Nov,1195650,1167104.57
29-Nov,974876,1166972.289
30-Nov,1009848,1163103.436
01-Dec,1217386,1168602.285
02-Dec,1296290,1171969.712
03-Dec,1384406,1202920.282
04-Dec,1360402,1205551.142
05-Dec,1284602,1218258.569
06-Dec,1077404,1232905.429
07-Dec,1028666,1235593.714
08-Dec,1276816,1244083.72
09-Dec,1341654,1250564.292
10-Dec,2986266,1479401.44
11-Dec,1396938,1484620.858
12-Dec,1245898,1479091.721
13-Dec,1096002,1481748.579
14-Dec,1047314,1484412.573
15-Dec,1251778,1480835.718
16-Dec,1468740,1498990.861
17-Dec,1471230,1282557.141
18-Dec,1435306,1288038.289
19-Dec,1232456,1286118.005
20-Dec,1068888,1282244.566
21-Dec,,
Grand Total,153645156,149797372.9
